date,code,open,high,low,close,preclose,volume,amount,pctChg
2014-08-01,sh.000001,2194.1700,2218.7890,2184.6410,2185.3030,2201.5620,19147504128,151884025856.0000,-0.738523
2014-08-04,sh.000001,2190.0360,2224.0680,2186.9170,2223.3310,2185.3030,17409740288,140088823808.0000,1.740174
2014-08-05,sh.000001,2224.6320,2226.8380,2206.8500,2219.9450,2223.3310,17538698752,141474533376.0000,-0.152293
2014-08-06,sh.000001,2212.0030,2223.8930,2192.9930,2217.4650,2219.9450,17771170816,140362854400.0000,-0.111714
2014-08-07,sh.000001,2216.6590,2220.5680,2185.7630,2187.6690,2217.4650,17523327488,137306468352.0000,-1.343703
2014-08-08,sh.000001,2188.7090,2199.5780,2180.5970,2194.4250,2187.6690,13518144256,109728993280.0000,0.308827
2014-08-11,sh.000001,2199.4330,2225.9610,2198.3140,2224.6540,2194.4250,15058342144,126096838656.0000,1.377536
2014-08-12,sh.000001,2222.6960,2222.9790,2210.0000,2221.5950,2224.6540,15479904512,132393971712.0000,-0.137508
2014-08-13,sh.000001,2223.0510,2230.9910,2202.4430,2222.8770,2221.5950,17806280704,146490785792.0000,0.057705
2014-08-14,sh.000001,2221.5410,2230.8940,2204.3840,2206.4660,2222.8770,17014912256,141706657792.0000,-0.738272
2014-08-15,sh.000001,2207.2260,2230.8720,2203.2420,2226.7340,2206.4660,14997869056,129406906368.0000,0.918565
2014-08-18,sh.000001,2229.8040,2242.0350,2228.1340,2239.4660,2226.7340,16392862464,141492842496.0000,0.571787
2014-08-19,sh.000001,2242.3400,2246.0160,2227.9250,2245.3300,2239.4660,17774459136,155445477376.0000,0.261849
2014-08-20,sh.000001,2241.6640,2248.9390,2233.8920,2240.2110,2245.3300,16765838336,139628052480.0000,-0.227991
2014-08-21,sh.000001,2239.5680,2240.0770,2211.6300,2230.4580,2240.2110,16573349888,140879626240.0000,-0.435358
2014-08-22,sh.000001,2228.9740,2243.3030,2225.2670,2240.8120,2230.4580,16011167232,140353019904.0000,0.464210
2014-08-25,sh.000001,2241.1000,2241.5530,2222.0090,2229.2740,2240.8120,16211957760,134450233344.0000,-0.514907
2014-08-26,sh.000001,2225.2910,2232.7850,2200.6180,2207.1060,2229.2740,16350742528,134123069440.0000,-0.994403
2014-08-27,sh.000001,2207.0300,2216.6700,2204.0480,2209.4650,2207.1060,12088588544,104090411008.0000,0.106888
2014-08-28,sh.000001,2210.4840,2219.4730,2194.8610,2195.8180,2209.4650,12422901504,109266624512.0000,-0.617660
2014-08-29,sh.000001,2198.9460,2218.6960,2193.2630,2217.2000,2195.8180,10520249600,93043871744.0000,0.973753
2014-09-01,sh.000001,2220.1290,2236.2860,2217.6850,2235.5110,2217.2000,12916658176,117215899648.0000,0.825863
2014-09-02,sh.000001,2239.6840,2267.5090,2234.3780,2266.0460,2235.5110,19212486912,170931777536.0000,1.365903
2014-09-03,sh.000001,2268.3950,2290.5470,2268.1000,2288.6270,2266.0460,21247899648,187558383616.0000,0.996496
2014-09-04,sh.000001,2290.0290,2307.7010,2283.2770,2306.8620,2288.6270,19948997632,179385892864.0000,0.796771
2014-09-05,sh.000001,2311.3050,2327.5570,2307.4470,2326.4320,2306.8620,21318191616,185839820800.0000,0.848331
2014-09-09,sh.000001,2328.4260,2331.9170,2315.8940,2326.5270,2326.4320,19699031808,172908498944.0000,0.004093
2014-09-10,sh.000001,2318.4960,2321.9080,2306.4210,2318.3050,2326.5270,18982898944,163454521344.0000,-0.353409
2014-09-11,sh.000001,2315.7320,2343.5950,2304.6020,2311.6790,2318.3050,22222179840,197232656384.0000,-0.285811
2014-09-12,sh.000001,2308.3460,2331.9500,2302.7750,2331.9500,2311.6790,19347153920,162102898688.0000,0.876895
2014-09-15,sh.000001,2330.1870,2340.4490,2321.5930,2339.1400,2331.9500,21511241472,185393631232.0000,0.308323
2014-09-16,sh.000001,2341.0270,2347.9350,2293.8690,2296.5550,2339.1400,30269411072,237659242496.0000,-1.820539
2014-09-17,sh.000001,2298.9820,2309.0480,2282.7950,2307.8930,2296.5550,21084245248,159121788928.0000,0.493702
2014-09-18,sh.000001,2303.8500,2319.8750,2297.9310,2315.9280,2307.8930,18908904448,144518520832.0000,0.348149
2014-09-19,sh.000001,2312.9840,2331.5610,2305.5170,2329.4510,2315.9280,17464848640,144345452544.0000,0.583911
2014-09-22,sh.000001,2323.5540,2323.5540,2284.3780,2289.8660,2329.4510,17584235520,147841744896.0000,-1.699326
2014-09-23,sh.000001,2289.0910,2311.5250,2289.0240,2309.7180,2289.8660,15685517056,135396855808.0000,0.866953
2014-09-24,sh.000001,2302.2310,2345.7470,2297.8760,2343.5750,2309.7180,22252572416,185690669056.0000,1.465847
2014-09-25,sh.000001,2352.8650,2365.1540,2336.8050,2345.1030,2343.5750,22568832256,189260378112.0000,0.065203
2014-09-26,sh.000001,2339.2880,2350.1090,2329.9550,2347.7180,2345.1030,17474828544,148220809216.0000,0.111508
2014-09-29,sh.000001,2353.7080,2363.0590,2346.5790,2357.7110,2347.7180,20011101952,171130880000.0000,0.425644
2014-09-30,sh.000001,2361.3180,2365.4910,2354.2680,2363.8700,2357.7110,19391868928,166933430272.0000,0.261236
2014-10-08,sh.000001,2368.5760,2382.7940,2354.2900,2382.7940,2363.8700,20439732736,180337577984.0000,0.800544
2014-10-09,sh.000001,2383.8590,2391.3480,2367.1110,2389.3710,2382.7940,23592001024,200271757312.0000,0.276027
2014-10-10,sh.000001,2380.7550,2386.2770,2365.0750,2374.5400,2389.3710,22467112704,192248233984.0000,-0.620710
2014-10-13,sh.000001,2366.4260,2366.8620,2341.1240,2366.0090,2374.5400,20089931264,175425069056.0000,-0.359270
2014-10-14,sh.000001,2362.8020,2380.5150,2349.1940,2359.4750,2366.0090,19683141888,170160087040.0000,-0.276158
2014-10-15,sh.000001,2358.2330,2374.8080,2344.3730,2373.6700,2359.4750,20280491520,171766747136.0000,0.601609
2014-10-16,sh.000001,2361.1300,2389.6750,2353.4060,2356.4990,2373.6700,24820116736,203805884416.0000,-0.723390
2014-10-17,sh.000001,2352.7840,2360.5970,2312.8260,2341.1840,2356.4990,21230096128,179433160704.0000,-0.649902
2014-10-20,sh.000001,2346.0520,2357.5090,2340.4590,2356.7280,2341.1840,16002230528,141820260352.0000,0.663935
2014-10-21,sh.000001,2355.0330,2361.6530,2337.5510,2339.6570,2356.7280,16882828800,146786312192.0000,-0.724354
2014-10-22,sh.000001,2339.2230,2352.1240,2324.5900,2326.5530,2339.6570,15269842432,138524536832.0000,-0.560082
2014-10-23,sh.000001,2322.3160,2329.9270,2297.3300,2302.4180,2326.5530,16263630848,140596502528.0000,-1.037372
2014-10-24,sh.000001,2303.0800,2314.8750,2296.6570,2302.2800,2302.4180,13222528000,114330697728.0000,-0.005991
2014-10-27,sh.000001,2293.5730,2293.6440,2279.8360,2290.4370,2302.2800,13026156800,113379983360.0000,-0.514404
2014-10-28,sh.000001,2294.0120,2338.2780,2294.0120,2337.8710,2290.4370,17859035648,158147960832.0000,2.070962
2014-10-29,sh.000001,2343.7200,2381.6430,2339.7120,2373.0300,2337.8710,26558868736,225067077632.0000,1.503887
2014-10-30,sh.000001,2371.8910,2397.2560,2365.9190,2391.0760,2373.0300,29464594176,226611179520.0000,0.760458
2014-10-31,sh.000001,2393.1780,2423.5960,2384.4830,2420.1780,2391.0760,32576352256,249915445248.0000,1.217111
2014-11-03,sh.000001,2425.2250,2436.7850,2418.1670,2430.0320,2420.1780,29882123520,227196592128.0000,0.407160
2014-11-04,sh.000001,2428.2710,2435.2230,2417.2210,2430.6770,2430.0320,30901303808,226503880704.0000,0.026544
2014-11-05,sh.000001,2432.1690,2434.3630,2415.5020,2419.2540,2430.6770,26360665344,201859407872.0000,-0.469955
2014-11-06,sh.000001,2419.6170,2426.8900,2401.7500,2425.8640,2419.2540,22200508928,179644375040.0000,0.273229
2014-11-07,sh.000001,2427.8980,2454.4230,2407.4420,2418.1710,2425.8640,29117224448,244157566976.0000,-0.317129
2014-11-10,sh.000001,2436.6280,2474.1560,2428.1850,2473.6730,2418.1710,30062820352,245233684480.0000,2.295214
2014-11-11,sh.000001,2483.6480,2508.6230,2445.9600,2469.6730,2473.6730,41190406656,331257389056.0000,-0.161703
2014-11-12,sh.000001,2454.6020,2494.9170,2444.8140,2494.4760,2469.6730,25293385216,215738617856.0000,1.004302
2014-11-13,sh.000001,2494.9980,2507.7430,2471.4070,2485.6060,2494.4760,29503705856,258311917568.0000,-0.355590
2014-11-14,sh.000001,2477.9660,2481.0250,2457.0450,2478.8240,2485.6060,22060761856,191924994048.0000,-0.272850
2014-11-17,sh.000001,2506.8640,2508.7670,2472.4460,2474.0090,2478.8240,21568780032,199264903168.0000,-0.194243
2014-11-18,sh.000001,2474.1820,2477.0520,2449.8130,2456.3660,2474.0090,20106256896,174659489792.0000,-0.713137
2014-11-19,sh.000001,2452.1500,2461.4910,2442.7100,2450.9860,2456.3660,18623577088,167069372416.0000,-0.219018
2014-11-20,sh.000001,2443.2760,2458.3190,2437.4760,2452.6600,2450.9860,16549521152,150799912960.0000,0.068292
2014-11-21,sh.000001,2452.6350,2488.2010,2446.6460,2486.7910,2452.6600,21223977472,197809795072.0000,1.391595
2014-11-24,sh.000001,2505.5320,2546.7460,2495.5210,2532.8790,2486.7910,36348583424,330291404800.0000,1.853308
2014-11-25,sh.000001,2531.9980,2568.3810,2527.0770,2567.5970,2532.8790,31431557120,282168803328.0000,1.370694
2014-11-26,sh.000001,2572.6490,2605.0700,2570.4040,2604.3450,2567.5970,33712724992,316521254912.0000,1.431223
2014-11-27,sh.000001,2615.3670,2631.3990,2599.1080,2630.4860,2604.3450,36407571968,338960830464.0000,1.003750
2014-11-28,sh.000001,2629.6260,2683.1800,2622.0610,2682.8350,2630.4860,46588003584,401951166464.0000,1.990084
2014-12-01,sh.000001,2691.7250,2720.7430,2668.8410,2680.1550,2682.8350,44679174144,401120190464.0000,-0.099892
2014-12-02,sh.000001,2667.8200,2777.3720,2665.6860,2763.5450,2680.1550,43773338112,397238915072.0000,3.111383
2014-12-03,sh.000001,2768.6780,2824.1790,2733.8680,2779.5250,2763.5450,56212028160,529777451008.0000,0.578242
2014-12-04,sh.000001,2783.4690,2900.5080,2772.4320,2899.4560,2779.5250,53268771840,509218574336.0000,4.314808
